snapshot_time,event_slug,event_title,match_date,tournament,best_of,team1,team2,market_type,market_question,outcome1,outcome2,outcome1_mid,outcome2_mid,mid_source,volume
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_4_winner,LoL: Karmine Corp vs G2 Esports - Game 4 Winner,Karmine Corp,G2 Esports,0.3600,0.6400,clob_mid,0
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_handicap,Game Handicap: G2 (-1.5) vs Karmine Corp (+1.5),G2 Esports,Karmine Corp,0.4850,0.5150,clob_mid,256
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_handicap,Game Handicap: G2 (-2.5) vs Karmine Corp (+2.5),G2 Esports,Karmine Corp,0.2550,0.7450,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_1_winner,LoL: Vivo Keyd Stars vs LOS - Game 1 Winner,Vivo Keyd Stars,LOS,0.4900,0.5100,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_2_winner,LoL: Vivo Keyd Stars vs LOS - Game 2 Winner,Vivo Keyd Stars,LOS,0.4950,0.5050,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_3_winner,LoL: Vivo Keyd Stars vs LOS - Game 3 Winner,Vivo Keyd Stars,LOS,0.4900,0.5100,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_handicap,Game Handicap: VKS (-2.5) vs LOS (+2.5),Vivo Keyd Stars,LOS,0.1550,0.8450,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,match_winner,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,Vivo Keyd Stars,LOS,0.5000,0.5000,clob_mid,1460
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_4_winner,LoL: Vivo Keyd Stars vs LOS - Game 4 Winner,Vivo Keyd Stars,LOS,0.5100,0.4900,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_handicap,Game Handicap: VKS (-1.5) vs LOS (+1.5),Vivo Keyd Stars,LOS,0.3300,0.6700,clob_mid,0
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_handicap,Game Handicap: LOS (-1.5) vs Vivo Keyd Stars (+1.5),LOS,Vivo Keyd Stars,0.3400,0.6600,clob_mid,18
2026-05-21T23:17:16Z,lol-vks-los-2026-05-23,LoL: Vivo Keyd Stars vs LOS (BO5) - CBLOL Playoffs,2026-05-23T00:00:00+00:00,CBLOL Playoffs,5,Vivo Keyd Stars,LOS,game_handicap,Game Handicap: LOS (-2.5) vs Vivo Keyd Stars (+2.5),LOS,Vivo Keyd Stars,0.1650,0.8350,clob_mid,0
2026-05-21T23:17:16Z,lol-fsk-doc-2026-05-21,LoL: Forsaken vs DOCISK (BO3) - Rift Legends Regular Season,2026-05-21T00:00:00+00:00,Rift Legends Regular Season,3,Forsaken,DOCISK,match_winner,LoL: Forsaken vs DOCISK (BO3) - Rift Legends Regular Season,Forsaken,DOCISK,1.0000,0.0000,gamma_last,6698
2026-05-21T23:17:16Z,lol-fsk-doc-2026-05-21,LoL: Forsaken vs DOCISK (BO3) - Rift Legends Regular Season,2026-05-21T00:00:00+00:00,Rift Legends Regular Season,3,Forsaken,DOCISK,game_1_winner,LoL: Forsaken vs DOCISK - Game 1 Winner,Forsaken,DOCISK,1.0000,0.0000,gamma_last,51
2026-05-21T23:17:16Z,lol-fsk-doc-2026-05-21,LoL: Forsaken vs DOCISK (BO3) - Rift Legends Regular Season,2026-05-21T00:00:00+00:00,Rift Legends Regular Season,3,Forsaken,DOCISK,game_2_winner,LoL: Forsaken vs DOCISK - Game 2 Winner,Forsaken,DOCISK,1.0000,0.0000,gamma_last,100
2026-05-21T23:17:16Z,lol-fsk-doc-2026-05-21,LoL: Forsaken vs DOCISK (BO3) - Rift Legends Regular Season,2026-05-21T00:00:00+00:00,Rift Legends Regular Season,3,Forsaken,DOCISK,game_handicap,Game Handicap: FSK (-1.5) vs DOCISK (+1.5),Forsaken,DOCISK,1.0000,0.0000,gamma_last,716
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_handicap,Game Handicap: T1 (-1.5) vs Dplus KIA (+1.5),T1,Dplus KIA,0.4950,0.5050,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_handicap,Game Handicap: T1 (-2.5) vs Dplus KIA (+2.5),T1,Dplus KIA,0.2750,0.7250,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,match_winner,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,Dplus KIA,T1,0.2850,0.7150,clob_mid,543
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_1_winner,LoL: Dplus KIA vs T1 - Game 1 Winner,Dplus KIA,T1,0.3550,0.6450,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_2_winner,LoL: Dplus KIA vs T1 - Game 2 Winner,Dplus KIA,T1,0.3100,0.6900,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_3_winner,LoL: Dplus KIA vs T1 - Game 3 Winner,Dplus KIA,T1,0.3100,0.6900,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-t1-2026-05-25,LoL: Dplus KIA vs T1 (BO5) - Esports World Cup Korea Qualifier Playoffs,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,5,Dplus KIA,T1,game_4_winner,LoL: Dplus KIA vs T1 - Game 4 Winner,Dplus KIA,T1,0.3550,0.6450,clob_mid,0
2026-05-21T23:17:16Z,lol-ktc-foxy-2026-05-22,LoL: KT Rolster Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,KT Rolster Challengers,BNK FearX Youth,match_winner,LoL: KT Rolster Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,KT Rolster Challengers,BNK FearX Youth,0.6950,0.3050,clob_mid,34620
2026-05-21T23:17:16Z,lol-ktc-foxy-2026-05-22,LoL: KT Rolster Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,KT Rolster Challengers,BNK FearX Youth,game_1_winner,LoL: KT Rolster Challengers vs BNK FearX Youth - Game 1 Winner,KT Rolster Challengers,BNK FearX Youth,0.6350,0.3650,clob_mid,4767
2026-05-21T23:17:16Z,lol-ktc-foxy-2026-05-22,LoL: KT Rolster Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,KT Rolster Challengers,BNK FearX Youth,game_2_winner,LoL: KT Rolster Challengers vs BNK FearX Youth - Game 2 Winner,KT Rolster Challengers,BNK FearX Youth,0.6450,0.3550,clob_mid,2027
