series_id,league,year,date_day,blue_team,red_team,oe_winner,oe_loser,oe_score,oe_w_wins,oe_l_wins,num_games,pair_key,page_num,source_url,date_header,match_date,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree,norm_team1,norm_team2,blue_is_team1,format,q_team1,q_team2,q_blue_win,score_match
11303-11303,LPL,2024,2024-07-20,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|JD Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,20 Jul 2024 - Summer - Stage 2,2024-07-20,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,1-2,1.0,2.0,2.71,1.55,0.36385,0.63615,JD Gaming,Bilibili Gaming,True,BO3,0.40820190331476425,0.5917980966852358,0.40820190331476425,True
11304-11304,LPL,2024,2024-07-21,Team WE,Ultra Prime,Team WE,Ultra Prime,1-1,1,1,2,Team WE|Ultra Prime,,,,,,,,,,,,,,,,,,,,,,,
11305-11305,LPL,2024,2024-07-21,LNG Esports,FunPlus Phoenix,LNG Esports,FunPlus Phoenix,1-1,1,1,2,FunPlus Phoenix|LNG Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,21 Jul 2024 - Summer - Stage 2,2024-07-21,LNG Esports,FunPlus Phoenix,LNG Esports,FunPlus Phoenix,0-2,0.0,2.0,1.25,4.2,0.770642,0.229358,LNG Esports,FunPlus Phoenix,True,BO3,0.6895015451095583,0.3104984548904417,0.6895015451095583,True
11306-11306,LPL,2024,2024-07-22,Rare Atom,Royal Never Give Up,Rare Atom,Royal Never Give Up,2-0,2,0,2,Rare Atom|Royal Never Give Up,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,22 Jul 2024 - Summer - Stage 2,2024-07-22,Royal Never Give Up,Rare Atom,Royal Never Give Up,Rare Atom,0-2,0.0,2.0,3.25,1.37,0.296537,0.703463,Royal Never Give Up,Rare Atom,False,BO3,0.3607584762963027,0.6392415237036972,0.6392415237036972,True
11307-11307,LPL,2024,2024-07-22,ThunderTalk Gaming,EDward Gaming,EDward Gaming,ThunderTalk Gaming,3-0,3,0,3,EDward Gaming|TT Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,22 Jul 2024 - Summer - Stage 2,2024-07-22,TT Gaming,EDward Gaming,TT Gaming,EDward Gaming,1-2,1.0,2.0,1.49,2.71,0.645238,0.354762,TT Gaming,EDward Gaming,True,BO3,0.5980834651279714,0.4019165348720286,0.5980834651279714,True
11308-11308,LPL,2024,2024-07-23,Weibo Gaming,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,23 Jul 2024 - Summer - Stage 2,2024-07-23,Weibo Gaming,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,1-2,1.0,2.0,4.51,1.28,0.221071,0.778929,Weibo Gaming,Bilibili Gaming,True,BO3,0.30400939571374724,0.6959906042862527,0.30400939571374724,True
11309-11309,LPL,2024,2024-07-23,Top Esports,Ninjas in Pyjamas,Top Esports,Ninjas in Pyjamas,1-1,1,1,2,Ninjas in Pyjamas|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,23 Jul 2024 - Summer - Stage 2,2024-07-23,Top Esports,Ninjas in Pyjamas,Top Esports,Ninjas in Pyjamas,2-0,2.0,0.0,1.14,6.15,0.843621,0.156379,Top Esports,Ninjas in Pyjamas,True,BO3,0.749885350856555,0.25011464914344494,0.749885350856555,True
11310-11310,LPL,2024,2024-07-24,Ultra Prime,Oh My God,Ultra Prime,Oh My God,2-1,2,1,3,Oh My God|Ultra Prime,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,24 Jul 2024 - Summer - Stage 2,2024-07-24,Ultra Prime,Oh My God,Ultra Prime,Oh My God,1-2,1.0,2.0,3.07,1.45,0.320796,0.679204,Ultra Prime,Oh My God,True,BO3,0.37811646313205766,0.6218835368679423,0.37811646313205766,True
11311-11311,LPL,2024,2024-07-24,LNG Esports,JD Gaming,LNG Esports,JD Gaming,3-0,3,0,3,JD Gaming|LNG Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,24 Jul 2024 - Summer - Stage 2,2024-07-24,LNG Esports,JD Gaming,LNG Esports,JD Gaming,2-1,2.0,1.0,2.17,1.75,0.446429,0.553571,LNG Esports,JD Gaming,True,BO3,0.4642249508736992,0.5357750491263008,0.4642249508736992,True
11312-11312,LPL,2024,2024-07-25,Rare Atom,Team WE,Rare Atom,Team WE,3-0,3,0,3,Rare Atom|Team WE,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,25 Jul 2024 - Summer - Stage 2,2024-07-25,Team WE,Rare Atom,Team WE,Rare Atom,1-2,1.0,2.0,1.92,1.92,0.5,0.5,Team WE,Rare Atom,False,BO3,0.5,0.5,0.5,True
11313-11313,LPL,2024,2024-07-25,Invictus Gaming,Royal Never Give Up,Royal Never Give Up,Invictus Gaming,2-1,2,1,3,Invictus Gaming|Royal Never Give Up,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,25 Jul 2024 - Summer - Stage 2,2024-07-25,Royal Never Give Up,Invictus Gaming,Royal Never Give Up,Invictus Gaming,1-2,1.0,2.0,2.71,1.5,0.356295,0.643705,Royal Never Give Up,Invictus Gaming,False,BO3,0.4029789779769958,0.5970210220230042,0.5970210220230042,True
11314-11314,LPL,2024,2024-07-25,Weibo Gaming,LGD Gaming,Weibo Gaming,LGD Gaming,1-1,1,1,2,LGD Gaming|Weibo Gaming,,,,,,,,,,,,,,,,,,,,,,,
11315-11315,LPL,2024,2024-07-26,Oh My God,ThunderTalk Gaming,Oh My God,ThunderTalk Gaming,1-1,1,1,2,Oh My God|TT Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,26 Jul 2024 - Summer - Stage 2,2024-07-26,TT Gaming,Oh My God,TT Gaming,Oh My God,2-0,2.0,0.0,2.07,1.79,0.463731,0.536269,TT Gaming,Oh My God,False,BO3,0.4758017741717995,0.5241982258282005,0.5241982258282005,True
11316-11316,LPL,2024,2024-07-26,Anyone's Legend,Top Esports,Anyone's Legend,Top Esports,1-1,1,1,2,Anyone's Legend|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,26 Jul 2024 - Summer - Stage 2,2024-07-26,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,2-0,2.0,0.0,1.4,3.1,0.688889,0.311111,Top Esports,Anyone's Legend,False,BO3,0.6287731805192474,0.37122681948075265,0.37122681948075265,True
11317-11317,LPL,2024,2024-07-26,Bilibili Gaming,Ninjas in Pyjamas,Ninjas in Pyjamas,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|Ninjas in Pyjamas,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,26 Jul 2024 - Summer - Stage 2,2024-07-26,Ninjas in Pyjamas,Bilibili Gaming,Ninjas in Pyjamas,Bilibili Gaming,1-2,1.0,2.0,7.95,1.12,0.123484,0.876516,Ninjas in Pyjamas,Bilibili Gaming,False,BO3,0.21959180257754127,0.7804081974224587,0.7804081974224587,True
11318-11318,LPL,2024,2024-07-27,LGD Gaming,LNG Esports,LGD Gaming,LNG Esports,2-1,2,1,3,LGD Gaming|LNG Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,27 Jul 2024 - Summer - Stage 2,2024-07-27,LNG Esports,LGD Gaming,LNG Esports,LGD Gaming,2-1,2.0,1.0,1.12,7.1,0.863747,0.136253,LNG Esports,LGD Gaming,False,BO3,0.7682289387122695,0.2317710612877305,0.2317710612877305,True
11319-11319,LPL,2024,2024-07-27,EDward Gaming,Ultra Prime,EDward Gaming,Ultra Prime,1-1,1,1,2,EDward Gaming|Ultra Prime,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,27 Jul 2024 - Summer - Stage 2,2024-07-27,Ultra Prime,EDward Gaming,Ultra Prime,EDward Gaming,0-2,0.0,2.0,1.92,1.92,0.5,0.5,Ultra Prime,EDward Gaming,False,BO3,0.5,0.5,0.5,True
11320-11320,LPL,2024,2024-07-27,FunPlus Phoenix,Top Esports,FunPlus Phoenix,Top Esports,1-1,1,1,2,FunPlus Phoenix|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,27 Jul 2024 - Summer - Stage 2,2024-07-27,Top Esports,FunPlus Phoenix,Top Esports,FunPlus Phoenix,2-0,2.0,0.0,1.22,4.51,0.787086,0.212914,Top Esports,FunPlus Phoenix,False,BO3,0.7024549697168018,0.29754503028319823,0.29754503028319823,True
11321-11321,LPL,2024,2024-07-28,Invictus Gaming,Team WE,Invictus Gaming,Team WE,2-0,2,0,2,Invictus Gaming|Team WE,,,,,,,,,,,,,,,,,,,,,,,
11322-11322,LPL,2024,2024-07-28,Anyone's Legend,LNG Esports,Anyone's Legend,LNG Esports,2-1,2,1,3,Anyone's Legend|LNG Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,28 Jul 2024 - Summer - Stage 2,2024-07-28,LNG Esports,Anyone's Legend,LNG Esports,Anyone's Legend,2-1,2.0,1.0,1.5,2.71,0.643705,0.356295,LNG Esports,Anyone's Legend,False,BO3,0.5970210220230041,0.4029789779769959,0.4029789779769959,True
11323-11323,LPL,2024,2024-07-28,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,1-1,1,1,2,FunPlus Phoenix|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,28 Jul 2024 - Summer - Stage 2,2024-07-28,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,2-0,2.0,0.0,1.5,2.71,0.643705,0.356295,Weibo Gaming,FunPlus Phoenix,False,BO3,0.5970210220230041,0.4029789779769959,0.4029789779769959,True
11324-11324,LPL,2024,2024-07-29,Royal Never Give Up,ThunderTalk Gaming,ThunderTalk Gaming,Royal Never Give Up,2-0,2,0,2,Royal Never Give Up|TT Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,29 Jul 2024 - Summer - Stage 2,2024-07-29,TT Gaming,Royal Never Give Up,TT Gaming,Royal Never Give Up,2-0,2.0,0.0,1.31,3.57,0.731557,0.268443,TT Gaming,Royal Never Give Up,False,BO3,0.6598136017094454,0.34018639829055464,0.34018639829055464,True
11325-11325,LPL,2024,2024-07-29,Oh My God,Rare Atom,Oh My God,Rare Atom,1-1,1,1,2,Oh My God|Rare Atom,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,29 Jul 2024 - Summer - Stage 2,2024-07-29,Rare Atom,Oh My God,Rare Atom,Oh My God,0-2,0.0,2.0,1.72,2.05,0.543767,0.456233,Rare Atom,Oh My God,False,BO3,0.5292112344478338,0.4707887655521662,0.4707887655521662,True
11326-11326,LPL,2024,2024-07-30,Ninjas in Pyjamas,LGD Gaming,Ninjas in Pyjamas,LGD Gaming,2-1,2,1,3,LGD Gaming|Ninjas in Pyjamas,,,,,,,,,,,,,,,,,,,,,,,
11327-11327,LPL,2024,2024-07-30,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-1,2,1,3,Anyone's Legend|Bilibili Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,30 Jul 2024 - Summer - Stage 2,2024-07-30,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-1,2.0,1.0,1.24,4.2,0.772059,0.227941,Bilibili Gaming,Anyone's Legend,True,BO3,0.6906057493746031,0.30939425062539694,0.6906057493746031,True
11328-11328,LPL,2024,2024-07-31,FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,1-1,1,1,2,Bilibili Gaming|FunPlus Phoenix,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,31 Jul 2024 - Summer - Stage 2,2024-07-31,FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,0-2,0.0,2.0,6.15,1.14,0.156379,0.843621,FunPlus Phoenix,Bilibili Gaming,True,BO3,0.2501146491434448,0.7498853508565553,0.2501146491434448,True
11329-11329,LPL,2024,2024-07-31,JD Gaming,Top Esports,JD Gaming,Top Esports,1-1,1,1,2,JD Gaming|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,31 Jul 2024 - Summer - Stage 2,2024-07-31,Top Esports,JD Gaming,Top Esports,JD Gaming,2-0,2.0,0.0,1.48,2.86,0.658986,0.341014,Top Esports,JD Gaming,False,BO3,0.6076542006546222,0.39234579934537783,0.39234579934537783,True
11348-11348,LPL,2024,2024-08-03,LGD Gaming,Invictus Gaming,Invictus Gaming,LGD Gaming,4-1,4,1,5,Invictus Gaming|LGD Gaming,,,,,,,,,,,,,,,,,,,,,,,
11349-11349,LPL,2024,2024-08-04,Ninjas in Pyjamas,Rare Atom,Rare Atom,Ninjas in Pyjamas,2-1,2,1,3,Ninjas in Pyjamas|Rare Atom,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,04 Aug 2024 - Summer - Stage 3,2024-08-04,Ninjas in Pyjamas,Rare Atom,Ninjas in Pyjamas,Rare Atom,3-0,3.0,0.0,1.57,2.4,0.604534,0.395466,Ninjas in Pyjamas,Rare Atom,True,BO5,0.5562236105630297,0.4437763894369703,0.5562236105630297,True
11350-11350,LPL,2024,2024-08-05,Oh My God,ThunderTalk Gaming,ThunderTalk Gaming,Oh My God,2-1,2,1,3,Oh My God|TT Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,05 Aug 2024 - Summer - Stage 3,2024-08-05,Oh My God,TT Gaming,Oh My God,TT Gaming,0-3,0.0,3.0,2.18,1.78,0.449495,0.550505,Oh My God,TT Gaming,True,BO5,0.4730116255889802,0.5269883744110198,0.4730116255889802,True
11351-11351,LPL,2024,2024-08-10,LGD Gaming,Ninjas in Pyjamas,LGD Gaming,Ninjas in Pyjamas,2-2,2,2,4,LGD Gaming|Ninjas in Pyjamas,,,,,,,,,,,,,,,,,,,,,,,
11352-11352,LPL,2024,2024-08-11,FunPlus Phoenix,ThunderTalk Gaming,ThunderTalk Gaming,FunPlus Phoenix,4-1,4,1,5,FunPlus Phoenix|TT Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,11 Aug 2024 - Summer - Play offs,2024-08-11,FunPlus Phoenix,TT Gaming,FunPlus Phoenix,TT Gaming,3-2,3.0,2.0,1.73,2.16,0.55527,0.44473,FunPlus Phoenix,TT Gaming,True,BO5,0.5295460419928208,0.47045395800717915,0.5295460419928208,True
11353-11353,LPL,2024,2024-08-12,JD Gaming,Ninjas in Pyjamas,JD Gaming,Ninjas in Pyjamas,4-1,4,1,5,JD Gaming|Ninjas in Pyjamas,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,12 Aug 2024 - Summer - Play offs,2024-08-12,JD Gaming,Ninjas in Pyjamas,JD Gaming,Ninjas in Pyjamas,2-3,2.0,3.0,1.22,4.57,0.789292,0.210708,JD Gaming,Ninjas in Pyjamas,True,BO5,0.6661059046173624,0.3338940953826376,0.6661059046173624,True
11354-11354,LPL,2024,2024-08-13,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,3-1,3,1,4,Anyone's Legend|FunPlus Phoenix,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,13 Aug 2024 - Summer - Play offs,2024-08-13,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,3-1,3.0,1.0,1.36,3.23,0.703704,0.296296,Anyone's Legend,FunPlus Phoenix,True,BO5,0.6123683676809397,0.3876316323190603,0.6123683676809397,True
11355-11355,LPL,2024,2024-08-15,Weibo Gaming,Ninjas in Pyjamas,Weibo Gaming,Ninjas in Pyjamas,3-1,3,1,4,Ninjas in Pyjamas|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,15 Aug 2024 - Summer - Play offs,2024-08-15,Weibo Gaming,Ninjas in Pyjamas,Weibo Gaming,Ninjas in Pyjamas,3-1,3.0,1.0,1.57,2.4,0.604534,0.395466,Weibo Gaming,Ninjas in Pyjamas,True,BO5,0.5562236105630297,0.4437763894369703,0.5562236105630297,True
11356-11356,LPL,2024,2024-08-16,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,3-1,3,1,4,Anyone's Legend|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,16 Aug 2024 - Summer - Play offs,2024-08-16,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,3-1,3.0,1.0,1.15,5.53,0.827844,0.172156,Top Esports,Anyone's Legend,True,BO5,0.6932266019439876,0.30677339805601245,0.6932266019439876,True
11357-11357,LPL,2024,2024-08-17,Bilibili Gaming,Weibo Gaming,Weibo Gaming,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,17 Aug 2024 - Summer - Play offs,2024-08-17,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,Weibo Gaming,3-0,3.0,0.0,1.25,4.0,0.761905,0.238095,Bilibili Gaming,Weibo Gaming,True,BO5,0.648120410084692,0.351879589915308,0.648120410084692,True
11358-11358,LPL,2024,2024-08-18,LNG Esports,Top Esports,Top Esports,LNG Esports,3-0,3,0,3,LNG Esports|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,18 Aug 2024 - Summer - Play offs,2024-08-18,LNG Esports,Top Esports,LNG Esports,Top Esports,0-3,0.0,3.0,2.65,1.55,0.369048,0.630952,LNG Esports,Top Esports,True,BO5,0.4292189933955464,0.5707810066044536,0.4292189933955464,True
11359-11359,LPL,2024,2024-08-21,Top Esports,Bilibili Gaming,Top Esports,Bilibili Gaming,2-2,2,2,4,Bilibili Gaming|Top Esports,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,21 Aug 2024 - Summer - Play offs,2024-08-21,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,3-1,3.0,1.0,1.5,2.71,0.643705,0.356295,Bilibili Gaming,Top Esports,False,BO5,0.5778938005270601,0.4221061994729399,0.4221061994729399,True
11360-11360,LPL,2024,2024-08-22,LNG Esports,Weibo Gaming,LNG Esports,Weibo Gaming,4-1,4,1,5,LNG Esports|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,22 Aug 2024 - Summer - Play offs,2024-08-22,Weibo Gaming,LNG Esports,Weibo Gaming,LNG Esports,3-2,3.0,2.0,2.71,1.5,0.356295,0.643705,Weibo Gaming,LNG Esports,False,BO5,0.42210619947294,0.57789380052706,0.57789380052706,True
11361-11361,LPL,2024,2024-08-24,Top Esports,Weibo Gaming,Top Esports,Weibo Gaming,4-1,4,1,5,Top Esports|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,24 Aug 2024 - Summer - Play offs,2024-08-24,Top Esports,Weibo Gaming,Top Esports,Weibo Gaming,2-3,2.0,3.0,1.2,4.33,0.783002,0.216998,Top Esports,Weibo Gaming,True,BO5,0.6618936100308928,0.33810638996910725,0.6618936100308928,True
11362-11362,LPL,2024,2024-08-30,Bilibili Gaming,Weibo Gaming,Weibo Gaming,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|Weibo Gaming,1.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,30 Aug 2024 - Summer - Play offs,2024-08-30,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,Weibo Gaming,3-0,3.0,0.0,1.13,5.53,0.83033,0.16967,Bilibili Gaming,Weibo Gaming,True,BO5,0.6950650457208766,0.3049349542791234,0.6950650457208766,True
11715-11715,LPL,2025,2025-01-12,Weibo Gaming,Oh My God,Oh My God,Weibo Gaming,2-1,2,1,3,Oh My God|Weibo Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,12 Jan 2025 - Spring Season,2025-01-12,Weibo Gaming,Oh My God,Weibo Gaming,Oh My God,3-0,3.0,0.0,1.11,7.0,0.863132,0.136868,Weibo Gaming,Oh My God,True,BO5,0.7206404722483798,0.2793595277516202,0.7206404722483798,True
11716-11716,LPL,2025,2025-01-13,LNG Esports,ThunderTalk Gaming,LNG Esports,ThunderTalk Gaming,2-2,2,2,4,LNG Esports|TT Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,13 Jan 2025 - Spring Season,2025-01-13,TT Gaming,LNG Esports,TT Gaming,LNG Esports,3-1,3.0,1.0,2.25,1.87,0.453883,0.546117,TT Gaming,LNG Esports,False,BO5,0.47536442472941776,0.5246355752705822,0.5246355752705822,True
11717-11717,LPL,2025,2025-01-14,Royal Never Give Up,FunPlus Phoenix,FunPlus Phoenix,Royal Never Give Up,3-1,3,1,4,FunPlus Phoenix|Royal Never Give Up,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,14 Jan 2025 - Spring Season,2025-01-14,Royal Never Give Up,FunPlus Phoenix,Royal Never Give Up,FunPlus Phoenix,3-1,3.0,1.0,2.05,1.73,0.457672,0.542328,Royal Never Give Up,FunPlus Phoenix,True,BO5,0.4773942803781459,0.5226057196218541,0.4773942803781459,True
11718-11718,LPL,2025,2025-01-15,Ultra Prime,Weibo Gaming,Ultra Prime,Weibo Gaming,2-2,2,2,4,Ultra Prime|Weibo Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,15 Jan 2025 - Spring Season,2025-01-15,Weibo Gaming,Ultra Prime,Weibo Gaming,Ultra Prime,3-1,3.0,1.0,1.02,12.0,0.921659,0.078341,Weibo Gaming,Ultra Prime,False,BO5,0.775639079913746,0.22436092008625397,0.22436092008625397,True
11719-11719,LPL,2025,2025-01-16,LGD Gaming,Anyone's Legend,Anyone's Legend,LGD Gaming,3-0,3,0,3,Anyone's Legend|LGD Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,16 Jan 2025 - Spring Season,2025-01-16,LGD Gaming,Anyone's Legend,LGD Gaming,Anyone's Legend,0-3,0.0,3.0,12.0,1.02,0.078341,0.921659,LGD Gaming,Anyone's Legend,True,BO5,0.22436092008625397,0.775639079913746,0.22436092008625397,True
11720-11720,LPL,2025,2025-01-17,EDward Gaming,Bilibili Gaming,Bilibili Gaming,EDward Gaming,3-0,3,0,3,Bilibili Gaming|EDward Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,17 Jan 2025 - Spring Season,2025-01-17,EDward Gaming,Bilibili Gaming,EDward Gaming,Bilibili Gaming,0-3,0.0,3.0,10.5,1.03,0.089332,0.910668,EDward Gaming,Bilibili Gaming,True,BO5,0.23602830867969415,0.7639716913203058,0.23602830867969415,True
11721-11721,LPL,2025,2025-01-18,Top Esports,Team WE,Team WE,Top Esports,2-1,2,1,3,Team WE|Top Esports,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,18 Jan 2025 - Spring Season,2025-01-18,Top Esports,Team WE,Top Esports,Team WE,3-0,3.0,0.0,1.02,11.0,0.915141,0.084859,Top Esports,Team WE,True,BO5,0.7686206370492258,0.23137936295077421,0.7686206370492258,True
11722-11722,LPL,2025,2025-01-19,Invictus Gaming,Ninjas in Pyjamas,Invictus Gaming,Ninjas in Pyjamas,2-2,2,2,4,Invictus Gaming|Ninjas in Pyjamas,,,,,,,,,,,,,,,,,,,,,,,
11723-11723,LPL,2025,2025-01-20,JD Gaming,Ultra Prime,Ultra Prime,JD Gaming,2-1,2,1,3,JD Gaming|Ultra Prime,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,20 Jan 2025 - Spring Season,2025-01-20,Ultra Prime,JD Gaming,Ultra Prime,JD Gaming,0-3,0.0,3.0,12.0,1.02,0.078341,0.921659,Ultra Prime,JD Gaming,False,BO5,0.22436092008625397,0.775639079913746,0.775639079913746,True
11724-11724,LPL,2025,2025-01-21,EDward Gaming,ThunderTalk Gaming,EDward Gaming,ThunderTalk Gaming,2-2,2,2,4,EDward Gaming|TT Gaming,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,21 Jan 2025 - Spring Season,2025-01-21,TT Gaming,EDward Gaming,TT Gaming,EDward Gaming,3-1,3.0,1.0,1.5,2.75,0.647059,0.352941,TT Gaming,EDward Gaming,False,BO5,0.5797749718221739,0.42022502817782614,0.42022502817782614,True
11725-11725,LPL,2025,2025-01-22,LGD Gaming,Team WE,Team WE,LGD Gaming,2-1,2,1,3,LGD Gaming|Team WE,,,,,,,,,,,,,,,,,,,,,,,
11726-11726,LPL,2025,2025-01-24,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,2-2,2,2,4,Anyone's Legend|Top Esports,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,24 Jan 2025 - Spring Season,2025-01-24,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,1-3,1.0,3.0,1.57,2.36,0.600509,0.399491,Top Esports,Anyone's Legend,True,BO5,0.5540237865705194,0.4459762134294806,0.5540237865705194,True
11727-11727,LPL,2025,2025-01-25,Bilibili Gaming,LNG Esports,LNG Esports,Bilibili Gaming,2-1,2,1,3,Bilibili Gaming|LNG Esports,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,24 Jan 2025 - Spring Season,2025-01-24,LNG Esports,Bilibili Gaming,LNG Esports,Bilibili Gaming,0-3,0.0,3.0,8.5,1.05,0.109948,0.890052,LNG Esports,Bilibili Gaming,False,BO5,0.2560030135621704,0.7439969864378295,0.7439969864378295,True
11728-11728,LPL,2025,2025-01-25,Invictus Gaming,Royal Never Give Up,Invictus Gaming,Royal Never Give Up,2-2,2,2,4,Invictus Gaming|Royal Never Give Up,7.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/7/,25 Jan 2025 - Spring Season,2025-01-25,Royal Never Give Up,Invictus Gaming,Royal Never Give Up,Invictus Gaming,1-3,1.0,3.0,5.5,1.17,0.175412,0.824588,Royal Never Give Up,Invictus Gaming,False,BO5,0.30916286301457113,0.6908371369854289,0.6908371369854289,True
