gameid,date,league,year,split,playoffs,game,patch,blue_team,red_team,blue_elo,red_elo,elo_diff,elo_diff_signed_sq,top_elo_diff,jng_elo_diff,mid_elo_diff,bot_elo_diff,sup_elo_diff,blue_rwr,red_rwr,rwr_diff,h2h_wr,role_h2h_wr,role_h2h_signed_sq,gd20_diff,gd15_diff,top_gd15_diff,jng_gd15_diff,mid_gd15_diff,bot_gd15_diff,sup_gd15_diff,outperf_diff,outperf_exp_diff,outperf_elo_diff,outperf_elo_exp_diff,rwr_exp_diff,gd15_exp_diff,first_blood_diff,first_dragon_diff,first_tower_diff,kill_diff_diff,game_len_diff,dragons_diff,barons_diff,blue_days_since,red_days_since,days_since_diff,blue_first_pick,series_score,q_blue_win,blue_win
LOLTMNT02_21206,2024-01-17 09:25:01+00:00,LCK,2024,Spring,0,2,14.01,Kiwoom DRX,Nongshim RedForce,1596.0,1644.0,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,,,,,0.4166666666666667,-0.006944444444444442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,-1,0.5724674194687841,0
LOLTMNT02_22225,2024-01-17 11:06:26+00:00,LCK,2024,Spring,0,1,14.01,Gen.G,T1,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.4383949298429383,0
LOLTMNT02_21273,2024-01-17 11:57:38+00:00,LCK,2024,Spring,0,2,14.01,T1,Gen.G,1644.0,1596.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5833333333333334,0.00694444444444445,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,0.5616050701570616,0
LOLTMNT02_21295,2024-01-17 12:49:50+00:00,LCK,2024,Spring,0,3,14.01,T1,Gen.G,1616.705213189584,1623.294786810416,-6.589573620832198,-43.42248050436756,-6.589573620832198,-6.589573620832198,-6.589573620832198,-6.589573620832198,-6.589573620832198,,,,0.5,0.5,0.0,4313.0,416.8,1448.0,502.0,-984.0,-634.0,1752.0,,,,,,380.7999999999999,,,,,,,,0.0,0.0,0.0,1,0,0.5616050701570616,0
LOLTMNT02_21688,2024-01-18 08:11:20+00:00,LCK,2024,Spring,0,1,14.01,HANJIN BRION,Dplus Kia,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.2501146491434448,0
LOLTMNT02_21701,2024-01-18 09:08:42+00:00,LCK,2024,Spring,0,2,14.01,HANJIN BRION,Dplus Kia,1596.0,1644.0,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,,,,,0.4166666666666667,-0.006944444444444442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,-1,0.2501146491434448,0
LOLTMNT02_22739,2024-01-18 10:57:08+00:00,LCK,2024,Spring,0,1,14.01,KT Rolster,BNK FEARX,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.6850681691258923,1
LOLTMNT02_22767,2024-01-18 11:54:26+00:00,LCK,2024,Spring,0,2,14.01,BNK FEARX,KT Rolster,1596.0,1644.0,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,,,,,0.4166666666666667,-0.006944444444444442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,-1,0.3149318308741077,0
LOLTMNT02_23175,2024-01-19 08:09:40+00:00,LCK,2024,Spring,0,1,14.01,Hanwha Life Esports,Kiwoom DRX,1620.0,1575.294786810416,44.7052131895839,1998.5560863261464,44.7052131895839,44.7052131895839,44.7052131895839,44.7052131895839,44.7052131895839,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1,0,0.8023951601110354,1
LOLTMNT02_23223,2024-01-19 09:02:32+00:00,LCK,2024,Spring,0,2,14.01,Hanwha Life Esports,Kiwoom DRX,1640.9288039853586,1554.3659828250577,86.56282116030093,7493.122007230242,86.5628211603007,86.5628211603007,86.5628211603007,86.5628211603007,86.5628211603007,,0.0,,,0.5833333333333334,0.00694444444444445,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,0.8023951601110354,1
LOLTMNT02_24236,2024-01-19 10:50:14+00:00,LCK,2024,Spring,0,1,14.01,T1,DN SOOPers,1593.1603502364,1620.0,-26.839649763599937,-720.3667994327101,-26.839649763599937,-26.839649763599937,-26.839649763599937,-26.839649763599937,-26.839649763599937,0.3333333333333333,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1,0,0.8140102245173586,1
