league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,02 Sep 2024 - Regional Finals,2024-09-02,2024,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,3-2,3,2,2.63,1.5,0.363196,0.636804
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,01 Sep 2024 - Regional Finals,2024-09-01,2024,Ninjas in Pyjamas,JD Gaming,Ninjas in Pyjamas,JD Gaming,2-3,2,3,2.93,1.41,0.324885,0.675115
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,30 Aug 2024 - Summer - Play offs,2024-08-30,2024,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,Weibo Gaming,3-0,3,0,1.13,5.53,0.83033,0.16967
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,24 Aug 2024 - Summer - Play offs,2024-08-24,2024,Top Esports,Weibo Gaming,Top Esports,Weibo Gaming,2-3,2,3,1.2,4.33,0.783002,0.216998
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,22 Aug 2024 - Summer - Play offs,2024-08-22,2024,Weibo Gaming,LNG Esports,Weibo Gaming,LNG Esports,3-2,3,2,2.71,1.5,0.356295,0.643705
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,21 Aug 2024 - Summer - Play offs,2024-08-21,2024,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,3-1,3,1,1.5,2.71,0.643705,0.356295
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,18 Aug 2024 - Summer - Play offs,2024-08-18,2024,LNG Esports,Top Esports,LNG Esports,Top Esports,0-3,0,3,2.65,1.55,0.369048,0.630952
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,17 Aug 2024 - Summer - Play offs,2024-08-17,2024,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,Weibo Gaming,3-0,3,0,1.25,4.0,0.761905,0.238095
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,16 Aug 2024 - Summer - Play offs,2024-08-16,2024,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,3-1,3,1,1.15,5.53,0.827844,0.172156
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/,15 Aug 2024 - Summer - Play offs,2024-08-15,2024,Weibo Gaming,Ninjas in Pyjamas,Weibo Gaming,Ninjas in Pyjamas,3-1,3,1,1.57,2.4,0.604534,0.395466
