league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,28 Aug 2025 - Fall Season,2025-08-28,2025,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,1-2,1,2,1.55,2.7,0.635294,0.364706
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,27 Aug 2025 - Fall Season,2025-08-27,2025,Team WE,Anyone's Legend,Team WE,Anyone's Legend,2-0,2,0,5.8,1.15,0.165468,0.834532
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,27 Aug 2025 - Fall Season,2025-08-27,2025,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,2-0,2,0,1.75,2.16,0.55243,0.44757
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,26 Aug 2025 - Fall Season,2025-08-26,2025,FunPlus Phoenix,Top Esports,FunPlus Phoenix,Top Esports,1-2,1,2,8.5,1.08,0.112735,0.887265
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,25 Aug 2025 - Fall Season,2025-08-25,2025,Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,2-0,2,0,1.1,8.5,0.885417,0.114583
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,24 Aug 2025 - Fall Season,2025-08-24,2025,JD Gaming,Anyone's Legend,JD Gaming,Anyone's Legend,0-2,0,2,3.85,1.3,0.252427,0.747573
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,24 Aug 2025 - Fall Season,2025-08-24,2025,LNG Esports,EDward Gaming,LNG Esports,EDward Gaming,0-2,0,2,4.2,1.25,0.229358,0.770642
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,23 Aug 2025 - Fall Season,2025-08-23,2025,Weibo Gaming,Invictus Gaming,Weibo Gaming,Invictus Gaming,1-2,1,2,3.5,1.35,0.278351,0.721649
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,23 Aug 2025 - Fall Season,2025-08-23,2025,Team WE,Top Esports,Team WE,Top Esports,1-2,1,2,5.2,1.18,0.184953,0.815047
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,23 Aug 2025 - Fall Season,2025-08-23,2025,LNG Esports,TT Gaming,LNG Esports,TT Gaming,2-0,2,0,2.48,1.54,0.383085,0.616915
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,22 Aug 2025 - Fall Season,2025-08-22,2025,LGD Gaming,EDward Gaming,LGD Gaming,EDward Gaming,2-0,2,0,4.6,1.23,0.210978,0.789022
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,22 Aug 2025 - Fall Season,2025-08-22,2025,Invictus Gaming,FunPlus Phoenix,Invictus Gaming,FunPlus Phoenix,2-0,2,0,1.11,8.0,0.878156,0.121844
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,21 Aug 2025 - Fall Season,2025-08-21,2025,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,1-2,1,2,3.56,1.3,0.26749,0.73251
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,21 Aug 2025 - Fall Season,2025-08-21,2025,Ultra Prime,EDward Gaming,Ultra Prime,EDward Gaming,0-2,0,2,5.8,1.16,0.166667,0.833333
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,20 Aug 2025 - Fall Season,2025-08-20,2025,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,2-0,2,0,1.09,8.0,0.880088,0.119912
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,19 Aug 2025 - Fall Season,2025-08-19,2025,Anyone's Legend,Top Esports,Anyone's Legend,Top Esports,0-2,0,2,1.69,2.25,0.571066,0.428934
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,19 Aug 2025 - Fall Season,2025-08-19,2025,LNG Esports,Ninjas in Pyjamas,LNG Esports,Ninjas in Pyjamas,0-2,0,2,5.2,1.25,0.193798,0.806202
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,18 Aug 2025 - Fall Season,2025-08-18,2025,Invictus Gaming,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,2-1,2,1,2.56,1.6,0.384615,0.615385
