league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,17 May 2026 - Summer Season,2026-05-17,2026,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-0,2,0,1.34,3.4,0.7173,0.2827
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,17 May 2026 - Summer Season,2026-05-17,2026,JD Gaming,Invictus Gaming,JD Gaming,Invictus Gaming,2-1,2,1,1.37,3.25,0.703463,0.296537
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,16 May 2026 - Summer Season,2026-05-16,2026,TT Gaming,EDward Gaming,TT Gaming,EDward Gaming,2-1,2,1,2.94,1.44,0.328767,0.671233
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,15 May 2026 - Summer Season,2026-05-15,2026,Top Esports,Bilibili Gaming,Top Esports,Bilibili Gaming,0-2,0,2,3.2,1.37,0.299781,0.700219
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,15 May 2026 - Summer Season,2026-05-15,2026,Ultra Prime,Oh My God,Ultra Prime,Oh My God,2-0,2,0,2.05,1.81,0.468912,0.531088
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,14 May 2026 - Summer Season,2026-05-14,2026,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,2-1,2,1,2.94,1.45,0.330296,0.669704
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,14 May 2026 - Summer Season,2026-05-14,2026,LNG Esports,LGD Gaming,LNG Esports,LGD Gaming,2-0,2,0,1.45,3.1,0.681319,0.318681
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,13 May 2026 - Summer Season,2026-05-13,2026,Team WE,Anyone's Legend,Team WE,Anyone's Legend,1-2,1,2,7.5,1.1,0.127907,0.872093
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,13 May 2026 - Summer Season,2026-05-13,2026,Oh My God,EDward Gaming,Oh My God,EDward Gaming,1-2,1,2,3.45,1.36,0.282744,0.717256
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,12 May 2026 - Summer Season,2026-05-12,2026,Invictus Gaming,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,1-2,1,2,6.3,1.14,0.153226,0.846774
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,12 May 2026 - Summer Season,2026-05-12,2026,Top Esports,Anyone's Legend,Top Esports,Anyone's Legend,0-2,0,2,2.26,1.73,0.433584,0.566416
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,12 May 2026 - Summer Season,2026-05-12,2026,Top Esports,Ninjas in Pyjamas,Top Esports,Ninjas in Pyjamas,1-2,1,2,1.4,3.47,0.712526,0.287474
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,10 May 2026 - Summer Season,2026-05-10,2026,JD Gaming,Anyone's Legend,JD Gaming,Anyone's Legend,2-1,2,1,2.17,1.74,0.445013,0.554987
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,10 May 2026 - Summer Season,2026-05-10,2026,Weibo Gaming,Ninjas in Pyjamas,Weibo Gaming,Ninjas in Pyjamas,2-0,2,0,1.85,2.09,0.530457,0.469543
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,09 May 2026 - Summer Season,2026-05-09,2026,Top Esports,Team WE,Top Esports,Team WE,2-0,2,0,1.14,6.2,0.844687,0.155313
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,08 May 2026 - Summer Season,2026-05-08,2026,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,0-2,0,2,2.8,1.47,0.344262,0.655738
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,08 May 2026 - Summer Season,2026-05-08,2026,Ultra Prime,LNG Esports,Ultra Prime,LNG Esports,1-2,1,2,4.1,1.24,0.23221,0.76779
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,07 May 2026 - Summer Season,2026-05-07,2026,Ninjas in Pyjamas,Anyone's Legend,Ninjas in Pyjamas,Anyone's Legend,2-0,2,0,4.06,1.29,0.241121,0.758879
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,07 May 2026 - Summer Season,2026-05-07,2026,Weibo Gaming,Team WE,Weibo Gaming,Team WE,2-1,2,1,1.28,4.1,0.762082,0.237918
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl/results/,06 May 2026 - Summer Season,2026-05-06,2026,Top Esports,JD Gaming,Top Esports,JD Gaming,1-2,1,2,1.95,1.85,0.486842,0.513158
