league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,28 Sep 2025 - Summer - Stage 2,2025-09-28,2025,G2 Esports,Movistar KOI,G2 Esports,Movistar KOI,3-0,3,0,1.48,2.72,0.647619,0.352381
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,27 Sep 2025 - Summer - Stage 2,2025-09-27,2025,Movistar KOI,Fnatic,Movistar KOI,Fnatic,3-1,3,1,1.99,2.08,0.511057,0.488943
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,26 Sep 2025 - Summer - Stage 2,2025-09-26,2025,Fnatic,Karmine Corp,Fnatic,Karmine Corp,3-1,3,1,2.5,1.85,0.425287,0.574713
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,15 Sep 2025 - Summer - Stage 2,2025-09-15,2025,GIANTX,Fnatic,GiantX,Fnatic,0-3,0,3,2.6,1.6,0.380952,0.619048
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,14 Sep 2025 - Summer - Stage 2,2025-09-14,2025,Movistar KOI,G2 Esports,Movistar KOI,G2 Esports,1-3,1,3,3.0,1.46,0.327354,0.672646
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,13 Sep 2025 - Summer - Stage 2,2025-09-13,2025,Vitality,Karmine Corp,Vitality,Karmine Corp,1-3,1,3,5.2,1.2,0.1875,0.8125
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,08 Sep 2025 - Summer - Stage 2,2025-09-08,2025,Movistar KOI,Fnatic,Movistar KOI,Fnatic,3-2,3,2,1.88,1.98,0.512953,0.487047
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,07 Sep 2025 - Summer - Stage 2,2025-09-07,2025,G2 Esports,Karmine Corp,G2 Esports,Karmine Corp,3-1,3,1,1.45,2.9,0.666667,0.333333
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,06 Sep 2025 - Summer - Stage 2,2025-09-06,2025,GIANTX,Shifters,GiantX,Shifters,3-0,3,0,1.3,3.86,0.748062,0.251938
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,26 Aug 2025 - Summer - Stage 1,2025-08-26,2025,Natus Vincere,GIANTX,Natus Vincere,GiantX,0-2,0,2,5.0,1.17,0.189627,0.810373
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,26 Aug 2025 - Summer - Stage 1,2025-08-26,2025,Vitality,Movistar KOI,Vitality,Movistar KOI,0-2,0,2,3.72,1.42,0.276265,0.723735
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,25 Aug 2025 - Summer - Stage 1,2025-08-25,2025,SK Gaming,G2 Esports,SK Gaming,G2 Esports,0-2,0,2,9.0,1.08,0.107143,0.892857
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,18 Aug 2025 - Summer - Stage 1,2025-08-18,2025,G2 Esports,Shifters,G2 Esports,Shifters,2-0,2,0,1.09,8.0,0.880088,0.119912
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2025/results/,18 Aug 2025 - Summer - Stage 1,2025-08-18,2025,Karmine Corp,Vitality,Karmine Corp,Vitality,1-2,1,2,1.15,6.4,0.847682,0.152318
