league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,GIANTX,Karmine Corp,GiantX,Karmine Corp,0-1,0,1,1.85,1.85,0.5,0.5
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Heretics,G2 Esports,Heretics,G2 Esports,0-1,0,1,5.13,1.17,0.185714,0.814286
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Shifters,Fnatic,Shifters,Fnatic,1-0,1,0,1.8,1.95,0.52,0.48
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Vitality,SK Gaming,Vitality,SK Gaming,0-1,0,1,2.75,1.5,0.352941,0.647059
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,Movistar KOI,Shifters,Movistar KOI,Shifters,0-1,0,1,3.47,1.3,0.272537,0.727463
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,SK Gaming,Karmine Corp,SK Gaming,Karmine Corp,1-0,1,0,1.44,2.8,0.660377,0.339623
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,G2 Esports,Vitality,G2 Esports,Vitality,1-0,1,0,1.15,5.63,0.830383,0.169617
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,Rogue,GIANTX,Rogue,GiantX,0-1,0,1,2.05,1.8,0.467532,0.532468
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,G2 Esports,Karmine Corp,G2 Esports,Karmine Corp,1-0,1,0,1.3,4.0,0.754717,0.245283
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,29 Jun 2024 - Summer - Stage 1,2024-06-29,2024,Fnatic,Heretics,Fnatic,Heretics,0-1,0,1,1.29,3.8,0.746562,0.253438
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jun 2024 - Summer - Stage 1,2024-06-23,2024,Karmine Corp,Vitality,Karmine Corp,Vitality,1-0,1,0,2.19,1.67,0.432642,0.567358
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jun 2024 - Summer - Stage 1,2024-06-23,2024,SK Gaming,Movistar KOI,SK Gaming,Movistar KOI,1-0,1,0,1.55,2.36,0.603581,0.396419
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jun 2024 - Summer - Stage 1,2024-06-23,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,0-1,0,1,2.5,1.51,0.376559,0.623441
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jun 2024 - Summer - Stage 1,2024-06-23,2024,GIANTX,Shifters,GiantX,Shifters,0-1,0,1,2.99,1.38,0.315789,0.684211
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,22 Jun 2024 - Summer - Stage 1,2024-06-22,2024,Movistar KOI,Fnatic,Movistar KOI,Fnatic,0-1,0,1,2.8,1.51,0.350348,0.649652
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,22 Jun 2024 - Summer - Stage 1,2024-06-22,2024,G2 Esports,Karmine Corp,G2 Esports,Karmine Corp,1-0,1,0,1.3,4.0,0.754717,0.245283
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,22 Jun 2024 - Summer - Stage 1,2024-06-22,2024,Vitality,GIANTX,Vitality,GiantX,0-1,0,1,1.57,2.5,0.614251,0.385749
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,22 Jun 2024 - Summer - Stage 1,2024-06-22,2024,Heretics,SK Gaming,Heretics,SK Gaming,0-1,0,1,2.75,1.58,0.364896,0.635104
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,16 Jun 2024 - Summer - Stage 1,2024-06-16,2024,Karmine Corp,Shifters,Karmine Corp,Shifters,0-1,0,1,2.5,1.51,0.376559,0.623441
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,16 Jun 2024 - Summer - Stage 1,2024-06-16,2024,SK Gaming,Fnatic,SK Gaming,Fnatic,0-1,0,1,2.5,1.58,0.387255,0.612745
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,16 Jun 2024 - Summer - Stage 1,2024-06-16,2024,GIANTX,Movistar KOI,GiantX,Movistar KOI,1-0,1,0,2.75,1.45,0.345238,0.654762
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,16 Jun 2024 - Summer - Stage 1,2024-06-16,2024,Rogue,G2 Esports,Rogue,G2 Esports,0-1,0,1,4.28,1.21,0.220401,0.779599
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,15 Jun 2024 - Summer - Stage 1,2024-06-15,2024,G2 Esports,GIANTX,G2 Esports,GiantX,1-0,1,0,1.11,6.15,0.847107,0.152893
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,15 Jun 2024 - Summer - Stage 1,2024-06-15,2024,Heretics,Karmine Corp,Heretics,Karmine Corp,1-0,1,0,1.75,2.0,0.533333,0.466667
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,15 Jun 2024 - Summer - Stage 1,2024-06-15,2024,Movistar KOI,Vitality,Movistar KOI,Vitality,0-1,0,1,1.64,2.19,0.571802,0.428198
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,15 Jun 2024 - Summer - Stage 1,2024-06-15,2024,Fnatic,Rogue,Fnatic,Rogue,1-0,1,0,1.26,3.72,0.746988,0.253012
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,15 Jun 2024 - Summer - Stage 1,2024-06-15,2024,Shifters,SK Gaming,Shifters,SK Gaming,0-1,0,1,1.62,2.5,0.606796,0.393204
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,10 Jun 2024 - Summer - Stage 1,2024-06-10,2024,Heretics,Movistar KOI,Heretics,Movistar KOI,0-1,0,1,1.85,1.85,0.5,0.5
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,10 Jun 2024 - Summer - Stage 1,2024-06-10,2024,Rogue,Karmine Corp,Rogue,Karmine Corp,0-1,0,1,2.2,1.62,0.424084,0.575916
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,10 Jun 2024 - Summer - Stage 1,2024-06-10,2024,Shifters,G2 Esports,Shifters,G2 Esports,1-0,1,0,3.23,1.34,0.293217,0.706783
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,10 Jun 2024 - Summer - Stage 1,2024-06-10,2024,GIANTX,SK Gaming,GiantX,SK Gaming,0-1,0,1,2.5,1.53,0.379653,0.620347
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,10 Jun 2024 - Summer - Stage 1,2024-06-10,2024,Fnatic,Vitality,Fnatic,Vitality,1-0,1,0,1.41,2.8,0.665083,0.334917
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,09 Jun 2024 - Summer - Stage 1,2024-06-09,2024,G2 Esports,SK Gaming,G2 Esports,SK Gaming,0-1,0,1,1.19,4.4,0.78712,0.21288
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,09 Jun 2024 - Summer - Stage 1,2024-06-09,2024,Fnatic,GIANTX,Fnatic,GiantX,1-0,1,0,1.22,4.28,0.778182,0.221818
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,09 Jun 2024 - Summer - Stage 1,2024-06-09,2024,Karmine Corp,Movistar KOI,Karmine Corp,Movistar KOI,1-0,1,0,2.24,1.68,0.428571,0.571429
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,08 Jun 2024 - Summer - Stage 1,2024-06-08,2024,Karmine Corp,Fnatic,Karmine Corp,Fnatic,0-1,0,1,3.0,1.38,0.315068,0.684932
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,08 Jun 2024 - Summer - Stage 1,2024-06-08,2024,Movistar KOI,G2 Esports,Movistar KOI,G2 Esports,0-1,0,1,3.5,1.28,0.267782,0.732218
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,08 Jun 2024 - Summer - Stage 1,2024-06-08,2024,SK Gaming,Rogue,SK Gaming,Rogue,1-0,1,0,1.65,2.19,0.570312,0.429688
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,08 Jun 2024 - Summer - Stage 1,2024-06-08,2024,Heretics,GIANTX,Heretics,GiantX,1-0,1,0,1.41,2.8,0.665083,0.334917
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,14 Apr 2024 - Spring - Stage 2,2024-04-14,2024,G2 Esports,Fnatic,G2 Esports,Fnatic,3-1,3,1,1.2,5.08,0.808917,0.191083
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,13 Apr 2024 - Spring - Stage 2,2024-04-13,2024,Shifters,Fnatic,Shifters,Fnatic,2-3,2,3,2.27,1.75,0.435323,0.564677
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,08 Apr 2024 - Spring - Stage 2,2024-04-08,2024,Vitality,Fnatic,Vitality,Fnatic,1-3,1,3,2.86,1.5,0.344037,0.655963
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,07 Apr 2024 - Spring - Stage 2,2024-04-07,2024,G2 Esports,Shifters,G2 Esports,Shifters,3-1,3,1,1.22,5.08,0.806349,0.193651
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,06 Apr 2024 - Spring - Stage 2,2024-04-06,2024,Vitality,Movistar KOI,Vitality,Movistar KOI,2-0,2,0,2.17,1.85,0.460199,0.539801
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,06 Apr 2024 - Spring - Stage 2,2024-04-06,2024,Fnatic,Heretics,Fnatic,Heretics,2-1,2,1,1.31,3.57,0.731557,0.268443
