league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,28 Sep 2025 - Regional Finals,2025-09-28,2025,Gen.G,Hanwha Life,Gen.G,Hanwha Life Esports,3-1,3,1,1.43,2.9,0.669746,0.330254
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,27 Sep 2025 - Regional Finals,2025-09-27,2025,Gen.G,KT Rolster,Gen.G,KT Rolster,3-0,3,0,1.13,6.54,0.852673,0.147327
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,21 Sep 2025 - Regional Finals,2025-09-21,2025,T1,Gen.G,T1,Gen.G,2-3,2,3,3.3,1.41,0.299363,0.700637
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,20 Sep 2025 - Regional Finals,2025-09-20,2025,KT Rolster,Hanwha Life,KT Rolster,Hanwha Life Esports,0-3,0,3,3.77,1.35,0.263672,0.736328
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,18 Sep 2025 - Regional Finals,2025-09-18,2025,Dplus Kia,T1,Dplus Kia,T1,1-3,1,3,3.95,1.33,0.251894,0.748106
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,17 Sep 2025 - Regional Finals,2025-09-17,2025,Dplus Kia,FearX,Dplus Kia,BNK FEARX,3-1,3,1,1.45,3.05,0.677778,0.322222
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,14 Sep 2025 - Regional Finals,2025-09-14,2025,Hanwha Life,T1,Hanwha Life Esports,T1,3-0,3,0,2.9,1.46,0.334862,0.665138
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,13 Sep 2025 - Regional Finals,2025-09-13,2025,Gen.G,KT Rolster,Gen.G,KT Rolster,2-3,2,3,1.07,11.0,0.91135,0.08865
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,11 Sep 2025 - Regional Finals,2025-09-11,2025,FearX,KT Rolster,BNK FEARX,KT Rolster,1-3,1,3,2.86,1.5,0.344037,0.655963
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2025/results/,10 Sep 2025 - Regional Finals,2025-09-10,2025,Dplus Kia,T1,Dplus Kia,T1,2-3,2,3,7.6,1.12,0.12844,0.87156
