league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,10 May 2026 - Spring Season,2026-05-10,2026,G2 Esports,Movistar KOI,G2 Esports,Movistar KOI,1-2,1,2,1.3,3.73,0.741551,0.258449
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,10 May 2026 - Spring Season,2026-05-10,2026,GIANTX,Karmine Corp,GiantX,Karmine Corp,2-1,2,1,5.5,1.17,0.175412,0.824588
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,09 May 2026 - Spring Season,2026-05-09,2026,Movistar KOI,Karmine Corp,Movistar KOI,Karmine Corp,1-2,1,2,2.38,2.0,0.456621,0.543379
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,09 May 2026 - Spring Season,2026-05-09,2026,G2 Esports,GIANTX,G2 Esports,GiantX,2-0,2,0,1.15,7.34,0.864547,0.135453
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,08 May 2026 - Spring Season,2026-05-08,2026,GIANTX,Movistar KOI,GiantX,Movistar KOI,0-2,0,2,3.0,1.43,0.322799,0.677201
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,08 May 2026 - Spring Season,2026-05-08,2026,Karmine Corp,G2 Esports,Karmine Corp,G2 Esports,0-2,0,2,2.3,1.68,0.422111,0.577889
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,04 May 2026 - Spring Season,2026-05-04,2026,Shifters,Movistar KOI,Shifters,Movistar KOI,1-2,1,2,4.4,1.24,0.219858,0.780142
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,04 May 2026 - Spring Season,2026-05-04,2026,Shifters,G2 Esports,Shifters,G2 Esports,0-2,0,2,8.0,1.1,0.120879,0.879121
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,04 May 2026 - Spring Season,2026-05-04,2026,Fnatic,Vitality,Fnatic,Vitality,1-2,1,2,2.9,1.5,0.340909,0.659091
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,03 May 2026 - Spring Season,2026-05-03,2026,Natus Vincere,G2 Esports,Natus Vincere,G2 Esports,0-2,0,2,3.26,1.42,0.303419,0.696581
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,02 May 2026 - Spring Season,2026-05-02,2026,Vitality,SK Gaming,Vitality,SK Gaming,2-1,2,1,1.18,6.3,0.842246,0.157754
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,02 May 2026 - Spring Season,2026-05-02,2026,Fnatic,Heretics,Fnatic,Heretics,2-0,2,0,1.41,3.0,0.680272,0.319728
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,26 Apr 2026 - Spring Season,2026-04-26,2026,Karmine Corp,Fnatic,Karmine Corp,Fnatic,2-1,2,1,1.2,5.4,0.818182,0.181818
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,26 Apr 2026 - Spring Season,2026-04-26,2026,Natus Vincere,Shifters,Natus Vincere,Shifters,2-1,2,1,1.24,4.4,0.780142,0.219858
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,25 Apr 2026 - Spring Season,2026-04-25,2026,Karmine Corp,Shifters,Karmine Corp,Shifters,2-1,2,1,1.1,8.4,0.884211,0.115789
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,25 Apr 2026 - Spring Season,2026-04-25,2026,Fnatic,Natus Vincere,Fnatic,Natus Vincere,1-2,1,2,3.54,1.42,0.28629,0.71371
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,24 Apr 2026 - Spring Season,2026-04-24,2026,Natus Vincere,Karmine Corp,Natus Vincere,Karmine Corp,0-2,0,2,3.45,1.45,0.295918,0.704082
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,24 Apr 2026 - Spring Season,2026-04-24,2026,Shifters,Fnatic,Shifters,Fnatic,0-2,0,2,2.71,1.53,0.360849,0.639151
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,20 Apr 2026 - Spring Season,2026-04-20,2026,SK Gaming,Karmine Corp,SK Gaming,Karmine Corp,0-2,0,2,7.0,1.14,0.140049,0.859951
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,20 Apr 2026 - Spring Season,2026-04-20,2026,Shifters,G2 Esports,Shifters,G2 Esports,0-2,0,2,8.0,1.1,0.120879,0.879121
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,19 Apr 2026 - Spring Season,2026-04-19,2026,Heretics,Movistar KOI,Heretics,Movistar KOI,0-2,0,2,6.3,1.15,0.154362,0.845638
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,19 Apr 2026 - Spring Season,2026-04-19,2026,Vitality,GIANTX,Vitality,GiantX,2-0,2,0,1.58,2.42,0.605,0.395
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,18 Apr 2026 - Spring Season,2026-04-18,2026,G2 Esports,SK Gaming,G2 Esports,SK Gaming,2-0,2,0,1.11,8.0,0.878156,0.121844
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,18 Apr 2026 - Spring Season,2026-04-18,2026,GIANTX,Natus Vincere,GiantX,Natus Vincere,1-2,1,2,1.85,2.05,0.525641,0.474359
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,13 Apr 2026 - Spring Season,2026-04-13,2026,GIANTX,Shifters,GiantX,Shifters,2-0,2,0,1.23,4.4,0.781528,0.218472
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,13 Apr 2026 - Spring Season,2026-04-13,2026,Fnatic,SK Gaming,Fnatic,SK Gaming,0-2,0,2,1.32,3.54,0.728395,0.271605
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,12 Apr 2026 - Spring Season,2026-04-12,2026,Heretics,Karmine Corp,Heretics,Karmine Corp,0-2,0,2,5.93,1.2,0.168303,0.831697
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,11 Apr 2026 - Spring Season,2026-04-11,2026,Movistar KOI,SK Gaming,Movistar KOI,SK Gaming,2-0,2,0,1.18,5.02,0.809677,0.190323
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,11 Apr 2026 - Spring Season,2026-04-11,2026,G2 Esports,Vitality,G2 Esports,Vitality,1-2,1,2,1.5,3.3,0.6875,0.3125
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,11 Apr 2026 - Spring Season,2026-04-11,2026,Heretics,Natus Vincere,Heretics,Natus Vincere,0-2,0,2,2.99,1.45,0.326577,0.673423
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec/results/,06 Apr 2026 - Spring Season,2026-04-06,2026,Vitality,Movistar KOI,Vitality,Movistar KOI,2-1,2,1,2.6,1.55,0.373494,0.626506
