league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,08 Feb 2026 - Winter Season,2026-02-08,2026,FlyQuest eSports,Dignitas,FlyQuest eSports,Dignitas,2-0,2,0,1.22,4.51,0.787086,0.212914
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,08 Feb 2026 - Winter Season,2026-02-08,2026,Cloud9,FlyQuest eSports,Cloud9,FlyQuest eSports,2-1,2,1,1.45,5.0,0.775194,0.224806
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,08 Feb 2026 - Winter Season,2026-02-08,2026,Dignitas,Shopify Rebellion,Dignitas,Shopify Rebellion,2-0,2,0,2.73,1.52,0.357647,0.642353
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,07 Feb 2026 - Winter Season,2026-02-07,2026,Team Liquid,Sentinels,Team Liquid,Sentinels,1-2,1,2,1.4,3.25,0.698925,0.301075
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,01 Feb 2026 - Winter Season,2026-02-01,2026,Shopify Rebellion,Team Liquid,Shopify Rebellion,Team Liquid,0-2,0,2,2.6,1.79,0.407745,0.592255
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,31 Jan 2026 - Winter Season,2026-01-31,2026,Sentinels,Dignitas,Sentinels,Dignitas,2-0,2,0,1.48,2.35,0.613577,0.386423
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,31 Jan 2026 - Winter Season,2026-01-31,2026,Cloud9,Lyon Gaming,Cloud9,Lyon Gaming,2-0,2,0,1.54,2.7,0.636792,0.363208
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,25 Jan 2026 - Winter Season,2026-01-25,2026,Lyon Gaming,Dignitas,Lyon Gaming,Dignitas,2-0,2,0,1.14,7.1,0.86165,0.13835
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,24 Jan 2026 - Winter Season,2026-01-24,2026,Sentinels,Disguised,Sentinels,Disguised,1-2,1,2,1.6,2.1,0.567568,0.432432
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,24 Jan 2026 - Winter Season,2026-01-24,2026,Cloud9,Team Liquid,Cloud9,Team Liquid,2-0,2,0,1.62,2.53,0.609639,0.390361
