gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,10,4.0,-180.0,-8.0,0,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,15,1320.0,1448.0,4.0,1,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,20,661.0,905.0,3.0,0,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,25,1137.0,1817.0,0.0,0,0.552940488342621,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,10,-272.0,-277.0,26.0,-2,0.606917980729216,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,15,-1892.0,-1737.0,3.0,-4,0.606917980729216,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,20,-3691.0,-2296.0,-4.0,-6,0.606917980729216,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,25,-10108.0,-11820.0,-75.0,-12,0.606917980729216,0
LOLTMNT03_337603,LCK,2026-01-16T11:56:34+00:00,10,1155.0,1338.0,9.0,1,0.563480306697161,1
LOLTMNT03_337603,LCK,2026-01-16T11:56:34+00:00,15,4458.0,3768.0,19.0,6,0.563480306697161,1
LOLTMNT03_337603,LCK,2026-01-16T11:56:34+00:00,20,8269.0,6015.0,42.0,10,0.563480306697161,1
LOLTMNT03_337603,LCK,2026-01-16T11:56:34+00:00,25,14553.0,13316.0,82.0,17,0.563480306697161,1
LOLTMNT03_336667,LCK,2026-01-17T08:05:53+00:00,10,-620.0,124.0,21.0,-1,0.821038723462444,1
LOLTMNT03_336667,LCK,2026-01-17T08:05:53+00:00,15,-2917.0,-3633.0,-28.0,-5,0.821038723462444,1
LOLTMNT03_336667,LCK,2026-01-17T08:05:53+00:00,20,-2587.0,-4981.0,-40.0,-7,0.821038723462444,1
LOLTMNT03_336667,LCK,2026-01-17T08:05:53+00:00,25,-2532.0,-5280.0,-57.0,-7,0.821038723462444,1
LOLTMNT03_337754,LCK,2026-01-17T09:01:27+00:00,10,767.0,-163.0,-15.0,1,0.827000327808397,0
LOLTMNT03_337754,LCK,2026-01-17T09:01:27+00:00,15,335.0,-470.0,-21.0,1,0.827000327808397,0
LOLTMNT03_337754,LCK,2026-01-17T09:01:27+00:00,20,-165.0,-642.0,-35.0,2,0.827000327808397,0
LOLTMNT03_337754,LCK,2026-01-17T09:01:27+00:00,25,-11987.0,-15832.0,-95.0,-10,0.827000327808397,0
LOLTMNT03_337756,LCK,2026-01-17T09:47:06+00:00,10,601.0,196.0,10.0,0,0.297360433509373,0
LOLTMNT03_337756,LCK,2026-01-17T09:47:06+00:00,15,1001.0,520.0,6.0,1,0.297360433509373,0
LOLTMNT03_337756,LCK,2026-01-17T09:47:06+00:00,20,-241.0,-1505.0,-6.0,-1,0.297360433509373,0
LOLTMNT03_337756,LCK,2026-01-17T09:47:06+00:00,25,-239.0,-2285.0,-5.0,-1,0.297360433509373,0
LOLTMNT03_336695,LCK,2026-01-17T11:10:45+00:00,10,-740.0,-30.0,-5.0,0,0.300528462045644,0
LOLTMNT03_336695,LCK,2026-01-17T11:10:45+00:00,15,-3163.0,-1832.0,-30.0,-2,0.300528462045644,0
LOLTMNT03_336695,LCK,2026-01-17T11:10:45+00:00,20,-3363.0,-1529.0,-41.0,0,0.300528462045644,0
LOLTMNT03_336695,LCK,2026-01-17T11:10:45+00:00,25,-8474.0,-9313.0,-87.0,-5,0.300528462045644,0
LOLTMNT03_337782,LCK,2026-01-17T12:05:01+00:00,10,788.0,-199.0,-28.0,3,0.800750892629437,1
LOLTMNT03_337782,LCK,2026-01-17T12:05:01+00:00,15,2891.0,2467.0,-2.0,5,0.800750892629437,1
LOLTMNT03_337782,LCK,2026-01-17T12:05:01+00:00,20,7762.0,6932.0,55.0,8,0.800750892629437,1
LOLTMNT03_337782,LCK,2026-01-17T12:05:01+00:00,25,11573.0,12861.0,95.0,11,0.800750892629437,1
LOLTMNT06_164200,LEC,2026-01-17T16:08:02+00:00,10,-241.0,124.0,-6.0,0,0.560714505844201,1
LOLTMNT06_164200,LEC,2026-01-17T16:08:02+00:00,15,320.0,813.0,0.0,1,0.560714505844201,1
LOLTMNT06_164200,LEC,2026-01-17T16:08:02+00:00,20,681.0,2411.0,5.0,2,0.560714505844201,1
LOLTMNT06_164200,LEC,2026-01-17T16:08:02+00:00,25,4912.0,6897.0,32.0,5,0.560714505844201,1
LOLTMNT06_163223,LEC,2026-01-17T17:06:08+00:00,10,-443.0,504.0,13.0,-1,0.669738547515809,1
LOLTMNT06_163223,LEC,2026-01-17T17:06:08+00:00,15,-296.0,-459.0,20.0,-2,0.669738547515809,1
LOLTMNT06_163223,LEC,2026-01-17T17:06:08+00:00,20,-2885.0,-4448.0,-11.0,-4,0.669738547515809,1
LOLTMNT06_163223,LEC,2026-01-17T17:06:08+00:00,25,3115.0,1254.0,30.0,1,0.669738547515809,1
LOLTMNT06_164218,LEC,2026-01-17T18:08:00+00:00,10,-1392.0,-700.0,-1.0,-2,0.572866928064471,0
LOLTMNT06_164218,LEC,2026-01-17T18:08:00+00:00,15,-3535.0,-2761.0,-38.0,-3,0.572866928064471,0
LOLTMNT06_164218,LEC,2026-01-17T18:08:00+00:00,20,-6698.0,-6045.0,-69.0,-6,0.572866928064471,0
LOLTMNT06_164218,LEC,2026-01-17T18:08:00+00:00,25,-8005.0,-7457.0,-71.0,-8,0.572866928064471,0
